target,feature,n,covariance,abs_covariance,feature_mean,target_mean,feature_std,target_std
in_signed_error,frame_diff_changed_ratio_25_max,3822,-0.18093745463518848,0.18093745463518848,0.06570020101892811,1.1570952347909114e-13,0.08485334517319934,22.135035602693243
in_signed_error,roi_flow_mag_p90_p50,3822,-0.17903857013547614,0.17903857013547614,0.9813532169905863,1.1570952347909114e-13,1.440802078819108,22.135035602693243
in_signed_error,persistence_max_min,3822,0.17694976797414577,0.17694976797414577,0.1765158825440025,1.1570952347909114e-13,0.3532696245771701,22.135035602693243
in_signed_error,candidate_direction_entropy_std,3222,-0.1729020363382306,0.1729020363382306,0.15102870777438818,-1.0965772065488468,0.05207746957215665,23.645095161814144
in_signed_error,filtered_to_raw_traffic_ratio_mean,3222,0.17287282446058427,0.17287282446058427,0.3547258154825005,-1.0965772065488468,0.30747791182717976,23.645095161814144
in_signed_error,band_flow_mag_mean_p50,3822,0.16639594921902148,0.16639594921902148,0.384909179680022,1.1570952347909114e-13,0.55457693956867,22.135035602693243
in_signed_error,roi_flow_mag_mean_std,3822,-0.16150903933267943,0.16150903933267943,0.18796525846382514,1.1570952347909114e-13,0.2474946944037654,22.135035602693243
in_signed_error,rejected_component_count_mean,3822,-0.16031418655511437,0.16031418655511437,1.2798569466645051,1.1570952347909114e-13,1.8701616172389097,22.135035602693243
in_signed_error,filtered_candidate_ratio_band_p50,3822,0.1555842654400132,0.1555842654400132,0.057293444024094316,1.1570952347909114e-13,0.11157655771771069,22.135035602693243
in_signed_error,in_flux_share_p10,2515,0.1551390826642316,0.1551390826642316,0.05668584820771387,-2.4789391898189286,0.1911202752148925,25.565232364216516
in_signed_error,out_flux_share_p90,2515,-0.15513908266423151,0.15513908266423151,0.9433141517922861,-2.4789391898189286,0.1911202752148925,25.565232364216516
in_signed_error,candidate_direction_entropy_p50,3222,-0.15395049899889662,0.15395049899889662,0.2969200739841757,-1.0965772065488468,0.24248426575196533,23.645095161814144
