case,feature,n,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
total_low_flow_under,direction_balance_abs_max,191,-0.03645305051232342,0.03645305051232342,-0.08289473684210526,0.08289473684210526
total_low_flow_under,filtered_traffic_flux_p90,259,0.036371262659186485,0.036371262659186485,0.09876496630578585,0.09876496630578585
total_low_flow_under,entrance_gray_p50_min,259,0.03622087848539375,0.03622087848539375,0.05016305453422834,0.05016305453422834
total_low_flow_under,raw_traffic_flux_std,259,0.03613442805343677,0.03613442805343677,0.014787835795079432,0.014787835795079432
total_low_flow_under,roi_flow_mag_mean_mean,259,0.03576641846813575,0.03576641846813575,-0.03130389616854822,0.03130389616854822
total_low_flow_under,candidate_direction_entropy_max,245,-0.03576610809178913,0.03576610809178913,-0.03137740504529744,0.03137740504529744
total_low_flow_under,entrance_saturated_ratio_p10,259,-0.03463553483526464,0.03463553483526464,-0.05524367394073537,0.05524367394073537
total_low_flow_under,raw_candidate_component_area_mean_p10,245,-0.03461307652406766,0.03461307652406766,-0.10097259504266538,0.10097259504266538
total_low_flow_under,in_flux_share_std,191,-0.03379776076760284,0.03379776076760284,-0.11767114591961801,0.11767114591961801
total_low_flow_under,out_flux_share_std,191,-0.033797760767602825,0.033797760767602825,-0.11783015367093148,0.11783015367093148
total_low_flow_under,entrance_value_std_p50,259,-0.033709879614605594,0.033709879614605594,0.04662465370048972,0.04662465370048972
total_low_flow_under,entrance_gray_entropy_max,259,0.033081543655741535,0.033081543655741535,0.02608669525708957,0.02608669525708957
total_low_flow_under,filtered_candidate_component_area_ratio_p90,259,0.03194704015683601,0.03194704015683601,0.09888378391757374,0.09888378391757374
total_low_flow_under,filtered_candidate_pixels_p90,259,0.0319470401568357,0.0319470401568357,0.09888378391757374,0.09888378391757374
total_low_flow_under,filtered_candidate_component_area_sum_p90,259,0.0319470401568357,0.0319470401568357,0.09888378391757374,0.09888378391757374
total_low_flow_under,filtered_candidate_component_area_max_p90,259,0.0319470401568357,0.0319470401568357,0.09888378391757374,0.09888378391757374
total_low_flow_under,filtered_candidate_ratio_band_p90,259,0.031947040156835686,0.031947040156835686,0.09888378391757374,0.09888378391757374
total_low_flow_under,total_filtered_traffic_flux,259,0.031734168780623295,0.031734168780623295,-0.06538185816864367,0.06538185816864367
total_low_flow_under,filtered_traffic_flux_mean,259,0.03172401508273411,0.03172401508273411,-0.06534700643187999,0.06534700643187999
total_low_flow_under,bottom_raw_in_flux_max,259,0.03160368198635085,0.03160368198635085,-0.10389088675955686,0.10389088675955686
total_low_flow_under,in_flux_share_min,191,0.0308273131906949,0.0308273131906949,0.08726346366481692,0.08726346366481692
total_low_flow_under,out_flux_share_max,191,-0.030827313190694587,0.030827313190694587,-0.08726346366481692,0.08726346366481692
total_low_flow_under,roi_saturated_ratio_p10,259,-0.029659223720912578,0.029659223720912578,-0.1372145239251057,0.1372145239251057
total_low_flow_under,direction_balance_abs_p90,191,-0.029429880020298935,0.029429880020298935,0.027093549580922405,0.027093549580922405
total_low_flow_under,filtered_traffic_flux_max,259,-0.02887698424081422,0.02887698424081422,-0.12905110199272063,0.12905110199272063
total_low_flow_under,filtered_candidate_component_count_p90,259,0.028129773597439456,0.028129773597439456,0.09870721168212576,0.09870721168212576
total_low_flow_under,valid_component_count_p90,259,0.028129773597439456,0.028129773597439456,0.09870721168212576,0.09870721168212576
total_low_flow_under,entrance_dark_ratio_std,259,-0.027859165097823657,0.027859165097823657,-0.013088279570542243,0.013088279570542243
total_low_flow_under,in_flux_share_p10,191,0.027096717924671884,0.027096717924671884,-0.017441743147379583,0.017441743147379583
total_low_flow_under,out_flux_share_p90,191,-0.027096717924671786,0.027096717924671786,0.017441743147379583,0.017441743147379583
total_low_flow_under,top_filtered_out_flux_std,259,0.02496025197158575,0.02496025197158575,-0.06083521204398344,0.06083521204398344
total_low_flow_under,raw_candidate_component_area_p90_p10,245,-0.024757788471560783,0.024757788471560783,-0.09032457129369213,0.09032457129369213
total_low_flow_under,left_filtered_in_flux_max,259,0.024570585949013082,0.024570585949013082,-0.03053729656419512,0.03053729656419512
total_low_flow_under,raw_out_flux_std,259,0.0243924382369559,0.0243924382369559,0.003710702362362727,0.003710702362362727
total_low_flow_under,entrance_gray_p50_p90,259,0.02437328316833664,0.02437328316833664,0.1396945072875137,0.1396945072875137
total_low_flow_under,band_normal_abs_mean_max,259,0.02371949469574971,0.02371949469574971,-0.038780030763852176,0.038780030763852176
total_low_flow_under,right_raw_out_flux_mean,259,-0.023245873059544758,0.023245873059544758,-0.010542539350000577,0.010542539350000577
total_low_flow_under,top_filtered_in_flux_max,259,0.02242822137418914,0.02242822137418914,-0.05507581127635379,0.05507581127635379
total_low_flow_under,filtered_in_flux_max,259,-0.022422663911440564,0.022422663911440564,-0.11661685133277748,0.11661685133277748
total_low_flow_under,roi_flow_mag_mean_p50,259,0.021197081285078315,0.021197081285078315,-0.0424711304753548,0.0424711304753548
total_low_flow_under,roi_saturated_ratio_min,259,-0.02077824332076555,0.02077824332076555,-0.082104849816535,0.082104849816535
total_low_flow_under,in_flux_share_max,191,0.02054155041548595,0.02054155041548595,-0.03278788652346088,0.03278788652346088
total_low_flow_under,out_flux_share_min,191,-0.020541550415485926,0.020541550415485926,0.03278788652346088,0.03278788652346088
total_low_flow_under,entrance_saturated_ratio_min,259,-0.020213561076551766,0.020213561076551766,-0.06176318795472635,0.06176318795472635
total_low_flow_under,entrance_gray_p95_p50,259,-0.02010789030135158,0.02010789030135158,0.04710773600959717,0.04710773600959717
total_low_flow_under,roi_gray_p50_p10,259,0.019836932055689174,0.019836932055689174,0.12772533809943462,0.12772533809943462
total_low_flow_under,background_saturated_ratio_p10,259,-0.01978921998183915,0.01978921998183915,-0.15359315680167632,0.15359315680167632
total_low_flow_under,entrance_gray_mean_mean,259,0.019659186107986688,0.019659186107986688,0.07720366043280627,0.07720366043280627
total_low_flow_under,entrance_gray_p05_std,259,-0.019436827864575085,0.019436827864575085,0.1649570695545143,0.1649570695545143
total_low_flow_under,raw_candidate_component_count_std,259,-0.019014820045066376,0.019014820045066376,0.039815429752589025,0.039815429752589025
total_low_flow_under,raw_candidate_component_area_p50_p10,245,-0.018139389355905804,0.018139389355905804,-0.10163147929886285,0.10163147929886285
total_low_flow_under,filtered_candidate_pixels_mean,259,-0.017361364521401846,0.017361364521401846,-0.067844157232684,0.067844157232684
total_low_flow_under,filtered_candidate_component_area_sum_mean,259,-0.017361364521401846,0.017361364521401846,-0.067844157232684,0.067844157232684
total_low_flow_under,filtered_candidate_ratio_band_mean,259,-0.01729938664514222,0.01729938664514222,-0.06732416913728337,0.06732416913728337
total_low_flow_under,filtered_candidate_component_area_ratio_mean,259,-0.01685092296907884,0.01685092296907884,-0.06701956485083554,0.06701956485083554
total_low_flow_under,left_filtered_candidate_pixels_std,259,-0.01674782599001261,0.01674782599001261,-0.05227532964401702,0.05227532964401702
total_low_flow_under,entrance_value_mean_p10,259,0.016603270516523137,0.016603270516523137,0.03455053056112271,0.03455053056112271
total_low_flow_under,direction_balance_abs_p50,191,-0.015974087161647103,0.015974087161647103,-0.026803541556097626,0.026803541556097626
total_low_flow_under,filtered_out_flux_mean,259,0.015734331621162657,0.015734331621162657,-0.055962862680553394,0.055962862680553394
total_low_flow_under,total_filtered_out_flux,259,0.015698636728547818,0.015698636728547818,-0.055930378275045226,0.055930378275045226
total_low_flow_under,band_flow_mag_mean_std,259,0.015535282316163353,0.015535282316163353,0.025371475618006307,0.025371475618006307
total_low_flow_under,background_saturated_ratio_min,259,-0.015109471175015357,0.015109471175015357,-0.062047517778734636,0.062047517778734636
total_low_flow_under,filtered_candidate_component_area_max_mean,259,-0.015038418411672246,0.015038418411672246,-0.06743917990905428,0.06743917990905428
total_low_flow_under,entrance_gray_p95_mean,259,-0.014540660105746079,0.014540660105746079,0.04564420533962183,0.04564420533962183
total_low_flow_under,roi_gray_p50_min,259,0.014071576453071305,0.014071576453071305,0.09458626975390437,0.09458626975390437
total_low_flow_under,raw_component_count_std,259,-0.013721825685314073,0.013721825685314073,0.004236868351908477,0.004236868351908477
total_low_flow_under,bottom_raw_in_flux_std,259,-0.013608662268367632,0.013608662268367632,-0.09803290685874248,0.09803290685874248
total_low_flow_under,bottom_raw_out_flux_p90,259,-0.01317671402698075,0.01317671402698075,-0.005936344522406729,0.005936344522406729
total_low_flow_under,entrance_gray_p50_p10,259,0.012414727047242141,0.012414727047242141,0.044515912041759954,0.044515912041759954
total_low_flow_under,entrance_gray_p50_p50,259,-0.011802649266794965,0.011802649266794965,0.06141010203626414,0.06141010203626414
total_low_flow_under,background_gray_p50_min,259,0.010876195646549002,0.010876195646549002,0.11621691459363788,0.11621691459363788
total_low_flow_under,filtered_candidate_component_count_mean,259,0.01075856803015575,0.01075856803015575,-0.04797195797995868,0.04797195797995868
total_low_flow_under,valid_component_count_mean,259,0.01075856803015575,0.01075856803015575,-0.04797195797995868,0.04797195797995868
total_low_flow_under,right_raw_in_flux_mean,259,0.009988740291112672,0.009988740291112672,-0.00930724290359587,0.00930724290359587
total_low_flow_under,filtered_traffic_flux_std,259,-0.009961785570400608,0.009961785570400608,-0.09361873529456856,0.09361873529456856
total_low_flow_under,top_filtered_out_flux_max,259,0.009943477625706737,0.009943477625706737,-0.07861900036492744,0.07861900036492744
total_low_flow_under,background_value_std_p10,259,0.009700802835104078,0.009700802835104078,-0.061788277028769746,0.061788277028769746
total_low_flow_under,entrance_gray_mean_min,259,0.009548247228471673,0.009548247228471673,0.02495567434062521,0.02495567434062521
total_low_flow_under,band_normal_abs_mean_std,259,-0.008778292269212888,0.008778292269212888,0.005445822544038623,0.005445822544038623
total_low_flow_under,roi_flow_mag_p99_min,259,0.008730067588855665,0.008730067588855665,-0.15368968377724218,0.15368968377724218
total_low_flow_under,raw_candidate_component_area_mean_min,245,-0.008014471867296888,0.008014471867296888,-0.12957238679106822,0.12957238679106822
total_low_flow_under,entrance_gray_mean_p50,259,0.007442450444133976,0.007442450444133976,0.06617318468566989,0.06617318468566989
total_low_flow_under,persistence_max_p90,259,-0.007338112124342901,0.007338112124342901,0.0692338594742771,0.0692338594742771
total_low_flow_under,entrance_gray_p50_mean,259,0.00536762751504523,0.00536762751504523,0.08223887614850171,0.08223887614850171
