target,feature,n,n_raw,outlier_filter,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
out_signed_error,background_bright_ratio_min,3104,3822,iqr,-0.03835248847035909,0.03835248847035909,-0.08181336854849404,0.08181336854849404
out_signed_error,entrance_value_mean_p90,3104,3822,iqr,-0.03791038297990181,0.03791038297990181,-0.0527444714953362,0.0527444714953362
out_signed_error,entrance_gray_p50_mean,3104,3822,iqr,-0.037580263614845094,0.037580263614845094,-0.05004546968078666,0.05004546968078666
out_signed_error,roi_bright_ratio_min,3104,3822,iqr,-0.037131533143959713,0.037131533143959713,-0.08059648639693971,0.08059648639693971
out_signed_error,roi_laplacian_var_max,3031,3822,iqr,0.03677111390663365,0.03677111390663365,0.0044926046662142356,0.0044926046662142356
out_signed_error,roi_saturation_mean_min,3104,3822,iqr,-0.03672646339088891,0.03672646339088891,-0.06856430612103839,0.06856430612103839
out_signed_error,background_saturation_std_std,2926,3822,iqr,0.03657232711845693,0.03657232711845693,0.02656040967312347,0.02656040967312347
out_signed_error,roi_gray_p05_mean,2770,3822,iqr,-0.036227706252441476,0.036227706252441476,-0.06055272215290759,0.06055272215290759
out_signed_error,roi_saturation_mean_std,2871,3822,iqr,-0.036078169190747536,0.036078169190747536,-0.024664142651229806,0.024664142651229806
out_signed_error,entrance_gray_mean_p10,3096,3822,iqr,-0.03565591369030882,0.03565591369030882,-0.040092597551436474,0.040092597551436474
out_signed_error,roi_edge_density_p10,2964,3822,iqr,0.03485998128446702,0.03485998128446702,0.004205751521207561,0.004205751521207561
out_signed_error,entrance_gray_p05_p90,2760,3822,iqr,-0.03476005800807364,0.03476005800807364,-0.05295636641939136,0.05295636641939136
out_signed_error,right_raw_out_flux_p50,3104,3822,iqr,0.03456399738847184,0.03456399738847184,0.029219229911925267,0.029219229911925267
out_signed_error,rejected_component_count_p50,3069,3822,iqr,-0.03446836439975629,0.03446836439975629,-0.02433585288358406,0.02433585288358406
out_signed_error,raw_out_flux_p10,3104,3822,iqr,0.03413842726493701,0.03413842726493701,0.04393818602224549,0.04393818602224549
out_signed_error,entrance_gray_p05_p50,2790,3822,iqr,-0.03408908379586203,0.03408908379586203,-0.047012916963497374,0.047012916963497374
out_signed_error,right_filtered_candidate_pixels_p50,3104,3822,iqr,0.033990631942086645,0.033990631942086645,0.03572212334492475,0.03572212334492475
out_signed_error,raw_candidate_component_area_max_min,3104,3822,iqr,0.03367657951624233,0.03367657951624233,0.051106182145442484,0.051106182145442484
out_signed_error,roi_gray_entropy_max,2648,3822,iqr,-0.03359568660989961,0.03359568660989961,-0.04977381449668501,0.04977381449668501
out_signed_error,entrance_saturation_mean_p10,2747,3822,iqr,0.033507120449921386,0.033507120449921386,-0.019956377818180274,0.019956377818180274
out_signed_error,entrance_gray_std_p50,3103,3822,iqr,-0.03339164913406202,0.03339164913406202,-0.03501755880182783,0.03501755880182783
out_signed_error,raw_traffic_flux_p10,2640,3822,iqr,-0.03315488312534465,0.03315488312534465,0.030609701589330976,0.030609701589330976
out_signed_error,left_raw_in_flux_p50,3104,3822,iqr,0.03308549380679507,0.03308549380679507,0.018260426153285117,0.018260426153285117
out_signed_error,roi_saturation_std_p90,2486,3822,iqr,0.03279921607058938,0.03279921607058938,0.1048252662386221,0.1048252662386221
out_signed_error,background_gray_entropy_p90,2643,3822,iqr,0.03260574250420567,0.03260574250420567,0.04122485576333466,0.04122485576333466
out_signed_error,raw_traffic_flux_min,3104,3822,iqr,0.0314273343509941,0.0314273343509941,0.05106022207125803,0.05106022207125803
out_signed_error,bottom_raw_out_flux_p10,3104,3822,iqr,0.031311216630351565,0.031311216630351565,0.05189432256145974,0.05189432256145974
out_signed_error,filtered_traffic_flux_p10,3104,3822,iqr,0.031003293513464356,0.031003293513464356,0.023734970412413008,0.023734970412413008
out_signed_error,raw_candidate_component_area_ratio_min,3104,3822,iqr,0.030923256296461046,0.030923256296461046,0.05116245355257487,0.05116245355257487
